,time_step,conversion_rate,cost_of_production,fiat_reserve,mech_step,operational_budget,overhead_cost,producer_roi_estimate,run,smooth_avg_fiat_reserve,smooth_avg_token_reserve,token_reserve,token_supply,tx_volume,volume_of_production,price
96,96,1.0634723730727704,5.077121217363117,626637.3485719939,5.0,25000.0,516.8723950342144,0.1813252070894069,5.5,461225.53104209545,471192.50359071686,505513.2506295707,625977.2353352564,80170.79145997757,170.87001448414009,0.940315917291415
97,97,1.0325835202450835,5.115721787253207,646867.854475842,5.0,25000.0,516.8867743095232,0.1814429764477471,5.5,478164.33506268985,474673.2607085774,508593.7769772724,629717.4629819028,81302.75894557286,170.44232047761074,0.9684446636942745
98,98,1.003021955748965,4.989503585576053,667349.8586099783,5.0,25000.0,516.8989914037322,0.18299509688765728,5.5,495437.5435972345,478115.1245580012,511637.07070635323,633420.2883520839,82256.44608485675,170.01507323345845,0.9969871489535755
99,99,0.9747379625362582,4.987723289677093,688015.9118132853,5.0,25000.0,516.9090816656415,0.18582277852845017,5.5,513035.4940245755,481518.5379911224,514643.38583682914,637086.0854685635,82946.32526681005,169.64001147701944,1.0259167473051016
100,100,0.9476804364800723,4.9615218965594305,708947.0021148068,5.0,25000.0,516.9165666723554,0.18890724743974746,5.5,530945.9611774066,484884.1050127214,517630.4968772715,640715.2246138788,83950.43399495339,169.33089626261247,1.0552080231963592
101,101,0.9217796146998222,4.86655160977378,730097.4944427583,5.0,25000.0,516.9282778467219,0.19365995600850103,5.5,549163.0478698529,488212.55996774137,520581.74844030396,644308.0723677399,84782.4655352155,169.0971896838342,1.0848580116687114
102,102,0.8969810328496319,4.929647002103717,751453.0752273458,5.0,25000.0,516.9378433165876,0.19872058551171318,5.5,567677.8105494012,491504.4687838114,523502.6749838881,647864.991644062,85557.24031567923,168.98383589179392,1.1148507754094705
103,103,0.8732327344602049,5.110819747210791,773013.4883672798,5.0,25000.0,516.9471724563066,0.20002533875286477,5.5,586480.9787048677,494760.434977853,526392.1732488552,651386.3417276214,86331.70214836624,168.96706802180864,1.145170079564364
104,104,0.8504890359264867,5.219063548925512,794808.2228866605,5.0,25000.0,516.9564253721666,0.19789059561772224,5.5,605564.8248552886,497980.9877997347,529256.9300635977,654872.4783103453,87222.18418323215,168.94734171902155,1.1757941111029637
105,105,0.8286993041060507,4.989655493328191,816745.4670104051,5.0,25000.0,516.9670016621237,0.19801664494880064,5.5,624922.6874090697,501166.63477558375,532080.4625203764,658323.7535272414,87750.03728329972,168.88045818130274,1.2067103170537083
106,106,0.8078304739056262,5.097125160968244,838849.1199035224,5.0,25000.0,516.9726692813136,0.1990596271620547,5.5,644542.1482783185,504317.6540256366,534878.1308083737,661740.5159919688,88367.7580658235,168.8665258768597,1.2378834821188285
107,107,0.7878413415239801,4.973407043453191,861109.0344210853,5.0,25000.0,516.9797218911186,0.2006776995400922,5.5,664413.3628636982,507434.5275142344,537646.7917193002,665123.1108320492,88948.63640576886,168.85880807675179,1.2692910961814032
108,108,0.76869066802777,4.962504453981597,883539.7206098763,5.0,25000.0,516.9863626370153,0.20352521732500328,5.5,684527.1418131357,510517.6900516127,540388.6026629548,668471.8797237284,89586.08723335511,168.90753177176055,1.3009134123687236
