,fiat_reserve,investors_money,overhead_cost,product_cost,revenue,run,substep,time,timestep,tx_volume
58,-28276.784958470056,6332.511891367892,10150.0,0.29831109290762686,523.6114204597562,1,2,2018-01-16 00:00:00,15,19.113467132250484
59,-21944.273067102164,6332.511891367892,10150.0,0.29831109290762686,523.6114204597562,1,3,2018-01-16 00:00:00,15,19.113467132250484
60,-32094.273067102164,6332.511891367892,10150.0,0.29831109290762686,523.6114204597562,1,4,2018-01-16 00:00:00,15,19.113467132250484
61,-32094.273067102164,6142.5365346268545,10160.0,0.3083341646869917,523.6114204597562,1,1,2018-01-17 00:00:00,16,19.753932221925123
62,-32044.88823654735,6142.5365346268545,10160.0,0.3083341646869917,572.996251014569,1,2,2018-01-17 00:00:00,16,19.753932221925123
63,-25902.351701920496,6142.5365346268545,10160.0,0.3083341646869917,572.996251014569,1,3,2018-01-17 00:00:00,16,19.753932221925123
64,-36062.351701920496,6142.5365346268545,10160.0,0.3083341646869917,572.996251014569,1,4,2018-01-17 00:00:00,16,19.753932221925123
65,-36062.351701920496,5958.260438588049,10170.0,0.276133097614417,572.996251014569,1,1,2018-01-18 00:00:00,17,21.031920290101798
66,-36009.77190119524,5958.260438588049,10170.0,0.276133097614417,625.5760517398235,1,2,2018-01-18 00:00:00,17,21.031920290101798
67,-30051.511462607195,5958.260438588049,10170.0,0.276133097614417,625.5760517398235,1,3,2018-01-18 00:00:00,17,21.031920290101798
68,-40221.511462607195,5958.260438588049,10170.0,0.276133097614417,625.5760517398235,1,4,2018-01-18 00:00:00,17,21.031920290101798
69,-40221.511462607195,5779.512625430407,10180.0,0.23285579587108018,625.5760517398235,1,1,2018-01-19 00:00:00,18,21.421031438787278
70,-40167.95888401023,5779.512625430407,10180.0,0.23285579587108018,679.1286303367916,1,2,2018-01-19 00:00:00,18,21.421031438787278
71,-34388.446258579825,5779.512625430407,10180.0,0.23285579587108018,679.1286303367916,1,3,2018-01-19 00:00:00,18,21.421031438787278
72,-44568.446258579825,5779.512625430407,10180.0,0.23285579587108018,679.1286303367916,1,4,2018-01-19 00:00:00,18,21.421031438787278
73,-44568.446258579825,5606.127246667495,10190.0,0.2031927514287012,679.1286303367916,1,1,2018-01-20 00:00:00,19,21.99924461948635
